text	perspective_Gold	content_Gold	position_Gold	perspective_ChatGPT	content_ChatGPT	position_ChatGPT	content_LlamaChinese	position_LlamaChinese	perspective_LlamaChinese	content_Llama3	position_Llama3	perspective_Llama3
众人举目看时，原来是一个癞头和尚与一个跛足道人。见那和尚是怎的模样：鼻如悬胆两眉长，目似明星蓄宝光，破衲芒鞋无住迹，腌か更有满头疮。那道人又是怎生模样：p_s一足高来一足低，浑身带水又拖泥。相逢若问家何处，却在蓬莱弱水西。p_e贾政问道：“你道友二人在那庙里焚修。”那僧笑道：“长官不须多话。因闻得府上人口不利，故特来医治。”贾政道：“倒有两个人中邪，不知你们有何符水？”	narrator	character portraiture	middle	character	character portraiture	middle	plot	middle	character	character portraiture	middle	character
宝玉因不见了林黛玉，便知他躲了别处去了，想了一想，索性迟两日，等他的气消一消再去也罢了。因低头看见许多凤仙石榴等各色落花，锦重重的落了一地，因叹道：“这是他心里生了气，也不收拾这花儿来了。待我送了去，明儿再问着他。”说着，只见宝钗约着他们往外头去。宝玉道：“我就来。”说毕，等他二人去远了，便把那花兜了起来，登山渡水，过树穿花，一直奔了那日同林黛玉葬桃花的去处来。将已到了花冢，犹未转过山坡，只听山坡那边有呜咽之声，一行数落着，哭的好不伤感。宝玉心下想道：“这不知是那房里的丫头，受了委曲，跑到这个地方来哭。”一面想，一面煞住脚步，听他哭道是：p_s花谢花飞花满天，红消香断有谁怜？游丝软系飘春榭，落絮轻沾扑绣帘。闺中女儿惜春暮，愁绪满怀无释处，手把花锄出绣闺，忍踏落花来复去。柳丝榆荚自芳菲，不管桃飘与李飞。桃李明年能再发，明年闺中知有谁？三月香巢已垒成，梁间燕子太无情！明年花发虽可啄，却不道人去梁空巢也倾。一年三百六十日，风刀霜剑严相逼，明媚鲜妍能几时，一朝飘泊难寻觅。花开易见落难寻，阶前闷杀葬花人，独倚花锄泪暗洒，洒上空枝见血痕。杜鹃无语正黄昏，荷锄归去掩重门。青灯照壁人初睡，冷雨敲窗被未温。怪奴底事倍伤神，半为怜春半恼春：怜春忽至恼忽去，至又无言去不闻。昨宵庭外悲歌发，知是花魂与鸟魂？花魂鸟魂总难留，鸟自无言花自羞。愿奴胁下生双翼，随花飞到天尽头。天尽头，何处有香丘？未若锦囊收艳骨，一え净土掩风流。质本洁来还洁去，强于污淖陷渠沟。尔今死去侬收葬，未卜侬身何日丧？侬今葬花人笑痴，他年葬侬知是谁？试看春残花渐落，便是红颜老死时。一朝春尽红颜老，花落人亡两不知！p_e宝玉听了不觉痴倒。要知端详，且听下回分解。	character	character portraiture	middle	character	character portraiture	middle	plot	end	character	commentary	middle	character
十二题已全，各自誊出来，都交与迎春，另拿了一张雪浪笺过来，一并誊录出来，某人作的底下赘明某人的号。李纨等从头看起：忆菊蘅芜君 p_s怅望西风抱闷思，蓼红苇白断肠时。空篱旧圃秋无迹，瘦月清霜梦有知。念念心随归雁远，寥寥坐听晚砧痴，谁怜我为黄花病，慰语重阳会有期。p_e访菊怡红公子闲趁霜晴试一游，酒杯药盏莫淹留。霜前月下谁家种，槛外篱边何处愁。蜡屐远来情得得，冷吟不尽兴悠悠。黄花若解怜诗客，休负今朝挂杖头。	character	scene	middle	character	character portraiture	middle	plot	beginning	character	commentary	middle	narrator
忆菊蘅芜君 怅望西风抱闷思，蓼红苇白断肠时。空篱旧圃秋无迹，瘦月清霜梦有知。念念心随归雁远，寥寥坐听晚砧痴，谁怜我为黄花病，慰语重阳会有期。访菊怡红公子 p_s闲趁霜晴试一游，酒杯药盏莫淹留。霜前月下谁家种，槛外篱边何处愁。蜡屐远来情得得，冷吟不尽兴悠悠。黄花若解怜诗客，休负今朝挂杖头。p_e种菊怡红公子 携锄秋圃自移来，篱畔庭前故故栽。昨夜不期经雨活，今朝犹喜带霜开。冷吟秋色诗千首，醉酹寒香酒一杯。泉溉泥封勤护惜，好知井径绝尘埃。	character	scene	middle	character	scene	middle	plot	middle	character	commentary	middle	narrator
访菊怡红公子 闲趁霜晴试一游，酒杯药盏莫淹留。霜前月下谁家种，槛外篱边何处愁。蜡屐远来情得得，冷吟不尽兴悠悠。黄花若解怜诗客，休负今朝挂杖头。种菊怡红公子 p_s携锄秋圃自移来，篱畔庭前故故栽。昨夜不期经雨活，今朝犹喜带霜开。冷吟秋色诗千首，醉酹寒香酒一杯。泉溉泥封勤护惜，好知井径绝尘埃。p_e对菊枕霞旧友 别圃移来贵比金，一丛浅淡一丛深。萧疏篱畔科头坐，清冷香中抱膝吟。数去更无君傲世，看来惟有我知音。秋光荏苒休辜负，相对原宜惜寸阴。	character	scene	middle	character	scene	middle	plot	beginning	character	commentary	middle	narrator
种菊怡红公子 携锄秋圃自移来，篱畔庭前故故栽。昨夜不期经雨活，今朝犹喜带霜开。冷吟秋色诗千首，醉酹寒香酒一杯。泉溉泥封勤护惜，好知井径绝尘埃。对菊枕霞旧友 p_s别圃移来贵比金，一丛浅淡一丛深。萧疏篱畔科头坐，清冷香中抱膝吟。数去更无君傲世，看来惟有我知音。秋光荏苒休辜负，相对原宜惜寸阴。p_e供菊枕霞旧友 弹琴酌酒喜堪俦，几案婷婷点缀幽。隔座香分三径露，抛书人对一枝秋。霜清纸帐来新梦，圃冷斜阳忆旧游。傲世也因同气味，春风桃李未淹留。	character	scene	middle	character	character portraiture	middle	plot	beginning	character	commentary	middle	narrator
对菊枕霞旧友 别圃移来贵比金，一丛浅淡一丛深。萧疏篱畔科头坐，清冷香中抱膝吟。数去更无君傲世，看来惟有我知音。秋光荏苒休辜负，相对原宜惜寸阴。供菊枕霞 p_s旧友弹琴酌酒喜堪俦，几案婷婷点缀幽。隔座香分三径露，抛书人对一枝秋。霜清纸帐来新梦，圃冷斜阳忆旧游。傲世也因同气味，春风桃李未淹留。p_e咏菊潇湘妃子 无赖诗魔昏晓侵，绕篱欹石自沉音。毫端蕴秀临霜写，口齿噙香对月吟。满纸自怜题素怨，片言谁解诉秋心。一从陶令平章后，千古高风说到今	character	scene	middle	character	character portraiture	middle	commentary	beginning	character	commentary	middle	narrator
供菊枕霞 旧友弹琴酌酒喜堪俦，几案婷婷点缀幽。隔座香分三径露，抛书人对一枝秋。霜清纸帐来新梦，圃冷斜阳忆旧游。傲世也因同气味，春风桃李未淹留。咏菊潇湘妃子p_s无赖诗魔昏晓侵，绕篱欹石自沉音。毫端蕴秀临霜写，口齿噙香对月吟。满纸自怜题素怨，片言谁解诉秋心。一从陶令平章后，千古高风说到今。p_e画菊蘅芜君 诗余戏笔不知狂，岂是丹青费较量。聚叶泼成千点墨，攒花染出几痕霜。淡浓神会风前影，跳脱秋生腕底香。莫认东篱闲采掇，粘屏聊以慰重阳。	character	scene	middle	character	character portraiture	middle	commentary	beginning	character	commentary	middle	narrator
咏菊潇湘妃子 无赖诗魔昏晓侵，绕篱欹石自沉音。毫端蕴秀临霜写，口齿噙香对月吟。满纸自怜题素怨，片言谁解诉秋心。一从陶令平章后，千古高风说到今。画菊蘅芜君 p_s诗余戏笔不知狂，岂是丹青费较量。聚叶泼成千点墨，攒花染出几痕霜。淡浓神会风前影，跳脱秋生腕底香。莫认东篱闲采掇，粘屏聊以慰重阳。p_e问菊潇湘妃子 欲讯秋情众莫知，喃喃负手叩东篱。孤标傲世偕谁隐，一样花开为底迟？圃露庭霜何寂寞，鸿归蛩病可相思？休言举世无谈者，解语何妨片语时。	character	scene	middle	character	character portraiture	middle	commentary	middle	character	commentary	middle	narrator
画菊蘅芜君 诗余戏笔不知狂，岂是丹青费较量。聚叶泼成千点墨，攒花染出几痕霜。淡浓神会风前影，跳脱秋生腕底香。莫认东篱闲采掇，粘屏聊以慰重阳。问菊潇湘妃子 p_s欲讯秋情众莫知，喃喃负手叩东篱。孤标傲世偕谁隐，一样花开为底迟？圃露庭霜何寂寞，鸿归蛩病可相思？休言举世无谈者，解语何妨片语时。p_e簪菊蕉下客 瓶供篱栽日日忙，折来休认镜中妆。长安公子因花癖，彭泽先生是酒狂。短鬓冷沾三径露，葛巾香染九秋霜。高情不入时人眼，拍手凭他笑路旁。	character	scene	middle	character	character portraiture	middle	plot	beginning	character	commentary	middle	narrator
问菊潇湘妃子 欲讯秋情众莫知，喃喃负手叩东篱。孤标傲世偕谁隐，一样花开为底迟？圃露庭霜何寂寞，鸿归蛩病可相思？休言举世无谈者，解语何妨片语时。簪菊蕉下客 p_s瓶供篱栽日日忙，折来休认镜中妆。长安公子因花癖，彭泽先生是酒狂。短鬓冷沾三径露，葛巾香染九秋霜。高情不入时人眼，拍手凭他笑路旁。p_e菊影枕霞旧友 秋光叠叠复重重，潜度偷移三径中。窗隔疏灯描远近，篱筛破月锁玲珑。寒芳留照魂应驻，霜印传神梦也空。珍重暗香休踏碎，凭谁醉眼认朦胧。	character	scene	middle	character	character portraiture	middle	commentary	middle	character	commentary	middle	narrator
簪菊蕉下客 瓶供篱栽日日忙，折来休认镜中妆。长安公子因花癖，彭泽先生是酒狂。短鬓冷沾三径露，葛巾香染九秋霜。高情不入时人眼，拍手凭他笑路旁。菊影枕霞旧友 p_s秋光叠叠复重重，潜度偷移三径中。窗隔疏灯描远近，篱筛破月锁玲珑。寒芳留照魂应驻，霜印传神梦也空。珍重暗香休踏碎，凭谁醉眼认朦胧。p_e菊梦潇湘妃子 篱畔秋酣一觉清，和云伴月不分明。登仙非慕庄生蝶，忆旧还寻陶令盟。睡去依依随雁断，惊回故故恼蛩鸣。醒时幽怨同谁诉，衰草寒烟无限情。	character	scene	middle	character	scene	middle	plot	middle	character	scene	end	narrator
菊影枕霞旧友 秋光叠叠复重重，潜度偷移三径中。窗隔疏灯描远近，篱筛破月锁玲珑。寒芳留照魂应驻，霜印传神梦也空。珍重暗香休踏碎，凭谁醉眼认朦胧。菊梦潇湘妃子 p_s篱畔秋酣一觉清，和云伴月不分明。登仙非慕庄生蝶，忆旧还寻陶令盟。睡去依依随雁断，惊回故故恼蛩鸣。醒时幽怨同谁诉，衰草寒烟无限情。p_e残菊蕉下客 露凝霜重渐倾欹，宴赏才过小雪时。蒂有余香金淡泊，枝无全叶翠离披。半床落月蛩声病，万里寒云雁阵迟。明岁秋风知再会，暂时分手莫相思。	character	scene	middle	character	character portraiture	middle	plot	middle	character	commentary	end	narrator
菊梦潇湘妃子 篱畔秋酣一觉清，和云伴月不分明。登仙非慕庄生蝶，忆旧还寻陶令盟。睡去依依随雁断，惊回故故恼蛩鸣。醒时幽怨同谁诉，衰草寒烟无限情。残菊蕉下客 p_s露凝霜重渐倾欹，宴赏才过小雪时。蒂有余香金淡泊，枝无全叶翠离披。半床落月蛩声病，万里寒云雁阵迟。明岁秋风知再会，暂时分手莫相思。p_e众人看一首，赞一首，彼此称扬不已。李纨笑道：“等我从公评来。通篇看来，各有各人的警句。今日公评：《咏菊》第一，《问菊》第二，《菊梦》第三，题目新，诗也新，立意更新，恼不得要推潇湘妃子为魁了，然后《簪菊《对菊》《供菊》《画菊》《忆菊》次之。”	character	scene	middle	character	scene	middle	character portraiture	beginning	narrator	commentary	middle	character
大家又评了一回，复又要了热蟹来，就在大圆桌子上吃了一回。宝玉笑道：“今日持螯赏桂，亦不可无诗。我已吟成，谁还敢作呢？""说着，便忙洗了手提笔写出。众人看道：p_s持螯更喜桂阴凉，泼醋擂姜兴欲狂。饕餮王孙应有酒，横行公子却无肠。脐间积冷馋忘忌，指上沾腥洗尚香。原为世人美口腹，坡仙曾笑一生忙。p_e黛玉笑道：“这样的诗，要一百首也有。”宝玉笑道：“你这会子才力已尽，不说不能作了，还贬人家。”黛玉听了，并不答言，也不思索，提起笔来一挥，已有了一首。众人看道：	character	scene	middle	character	scene	middle	plot	beginning	character	commentary	middle	character
原为世人美口腹，坡仙曾笑一生忙。黛玉笑道：“这样的诗，要一百首也有。”宝玉笑道：“你这会子才力已尽，不说不能作了，还贬人家。”黛玉听了，并不答言，也不思索，提起笔来一挥，已有了一首。众人看道：p_s铁甲长戈死未忘，堆盘色相喜先尝。螯封嫩玉双双满，壳凸红脂块块香。多肉更怜卿八足，助情谁劝我千觞。对斯佳品酬佳节，桂拂清风菊带霜。p_e宝玉看了正喝彩，黛玉便一把撕了，令人烧去，因笑道：“我的不及你的，我烧了他。你那个很好，比方才的菊花诗还好，你留着他给人看。”宝钗接着笑道：“我也勉强了一首，未必好，写出来取笑儿罢。”说着也写了出来。	character	scene	middle	character	scene	middle	commentary	middle	character	commentary	middle	character
香菱听了，喜的拿回诗来，又苦思一回作两句诗，又舍不得杜诗，又读两首。如此茶饭无心，坐卧不定。宝钗道：“何苦自寻烦恼。都是颦儿引的你，我和他算帐去。你本来呆头呆脑的，再添上这个，越发弄成个呆子了。”香菱笑道：“好姑娘，别混我。”一面说，一面作了一首，先与宝钗看。宝钗看了笑道：“这个不好，不是这个作法。你别怕臊，只管拿了给他瞧去，看他是怎么说。”香菱听了，便拿了诗找黛玉。黛玉看时，只见写道是：p_s月挂中天夜色寒，清光皎皎影团团。诗人助兴常思玩，野客添愁不忍观。翡翠楼边悬玉镜，珍珠帘外挂冰盘。良宵何用烧银烛，晴彩辉煌映画栏。p_e黛玉笑道：“意思却有，只是措词不雅。皆因你看的诗少，被他缚住了。把这首丢开，再作一首，只管放开胆子去作。”	character	scene	middle	character	scene	middle	commentary	middle	character	commentary	middle	character
只见香菱兴兴头头的又往黛玉那边去了。探春笑道：“咱们跟了去，看他有些意思没有。""说着，一齐都往潇湘馆来。只见黛玉正拿着诗和他讲究。众人因问黛玉作的如何。黛玉道：“自然算难为他了，只是还不好。这一首过于穿凿了，还得另作。”众人因要诗看时，只见作道：p_s非银非水映窗寒，拭看晴空护玉盘。淡淡梅花香欲染，丝丝柳带露初干。只疑残粉涂金砌，恍若轻霜抹玉栏。梦醒西楼人迹绝，余容犹可隔帘看。p_e宝钗笑道：“不象吟月了，月字底下添一个`色'字倒还使得，你看句句倒是月色。这也罢了，原来诗从胡说来，再迟几天就好了。”香菱自为这首妙绝，听如此说，自己扫了兴，不肯丢开手，便要思索起来。因见他姊妹们说笑，便自己走至阶前竹下闲步，挖心搜胆，耳不旁听，目不别视。	character	scene	middle	character	character portraiture	middle	plot	beginning	character	commentary	middle	narrator
话说香菱见众人正说笑，他便迎上去笑道：“你们看这一首。若使得，我便还学，若还不好，我就死了这作诗的心了。”说着，把诗递与黛玉及众人看时，只见写道是：p_s精华欲掩料应难，影自娟娟魄自寒。一片砧敲千里白，半轮鸡唱五更残。绿蓑江上秋闻笛，红袖楼头夜倚栏。博得嫦蛾应借问，缘何不使永团圆！p_e众人看了笑道：“这首不但好，而且新巧有意趣。可知俗语说`天下无难事，只怕有心人。'社里一定请你了。”香菱听了心下不信，料着是他们瞒哄自己的话，还只管问黛玉宝钗等。	character	scene	middle	character	scene	middle	plot	beginning	narrator	commentary	middle	character
捐躯自报恒王后，此日青州土亦香。众幕宾看了，便皆大赞：“小哥儿十三岁的人就如此，可知家学渊源，真不诬矣。”贾政笑道：“稚子口角，也还难为他。”又看贾环的，是首五言律，写道是：p_s红粉不知愁，将军意未休。掩啼离绣幕，抱恨出青州。自谓酬王德，讵能复寇仇。谁题忠义墓，千古独风流。p_e众人道：“更佳。倒是大几岁年纪，立意又自不同。”贾政道：“还不甚大错，终不恳切。”众人道：“这就罢了。三爷才大不多两岁，在未冠之时如此，用了工夫，再过几年，怕不是大阮小阮了。”	character	scene	middle	character	commentary	middle	plot	middle	narrator	commentary	middle	character
再看那岸上的蓼花苇叶，池内的翠荇香菱，也都觉摇摇落落，似有追忆故人之态，迥非素常逞妍斗色之可比。既领略得如此寥落凄惨之景，是以情不自禁，乃信口吟成一歌曰：p_s池塘一夜秋风冷，吹散芰荷红玉影。蓼花菱叶不胜愁，重露繁霜压纤梗。不闻永昼敲棋声，燕泥点点污棋枰。古人惜别怜朋友，况我今当手足情！p_e宝玉方才吟罢，忽闻背后有人笑道：“你又发什么呆呢？""宝玉回头忙看是谁，原来是香菱。	character	scene	middle	character	character portraiture	middle	plot	end	character	commentary	middle	character
周瑞家的在旁笑道：“前年李先儿还说这一回书的，我们还告诉他重着奶奶的名字不要叫呢。”凤姐笑道：“可是呢，我倒忘了。”说着，又瞧底下的，写的是：p_s去国离乡二十年，于今衣锦返家园。蜂采百花成蜜后，为谁辛苦为谁甜！行人至，音信迟，讼宜和，婚再议。p_e看完也不甚明白。大了道：“奶奶大喜。这一签巧得很，奶奶自幼在这里长大，何曾回南京去了。如今老爷放了外任，或者接家眷来，顺便还家，奶奶可不是`衣锦还乡'了？"	narrator	commentary	middle	character	plot	middle	plot	beginning	narrator	commentary	middle	narrator
那空空道人听了，仰天大笑，掷下抄本，飘然而去。一面走着，口中说道：“果然是敷衍荒唐！不但作者不知，抄者不知，并阅者也不知。不过游戏笔墨，陶情适性而已！""后人见了这本奇传，亦曾题过四句为作者缘起之言更转一竿头云：p_s说到辛酸处，荒唐愈可悲。由来同一梦，休笑世人痴！p_e	narrator	commentary	end	character	commentary	middle	commentary	middle	narrator	commentary	end	narrator
这里黛玉趁着妙姑饮酒的空儿，提起笔来也就和了一首，躬身送上元妃。元妃接来念道：p_s仙机识破愧前身，珠竟沉渊绛委尘。为报当时甘露泽，酿成今日太虚春。灵河辜负三生愿，湘馆凄凉再世人。一自东风吹恨去，青山展却旧眉颦。p_e元妃念毕，众人都道：“到底是潇湘仙子与众不同。”元妃笑道：“我们警幻大师自然不屑与我们唱和的，我们小大奶奶我是知道的，诗上原本有限。二妹妹，你为什么也不做一首呢？”	character	scene	middle	character	character portraiture	middle	plot	middle	character	commentary	middle	character
元妃提笔，一挥而就，递与黛玉。黛玉接来，仔细读道：p_s自是灵河不朽身，偶因一念谪红尘。分来兰蕙瑶池品，占断风花上苑春。青甫入帘香彻骨，苔初绕砌翠迎人。芳姿别有销魂处，未许凡葩强效颦。p_e黛玉读罢，连声赞颂，又逊谢：“奖赏太过，实不敢当。”遂又递与香菱、妙玉、迎春等。大家看了一遍，都称赞不已。元妃笑道：“换热酒来，大家吃一杯，助助诗兴。”宫娥斟上热酒来，众人皆饮了一巡。	character	scene	middle	character	character portraiture	middle	commentary	beginning	narrator	commentary	middle	character
香菱便拈起笔来，笑嘻嘻的也写了一首，躬身呈与元妃道：“婢子初学，俚句不足以辱娘娘凤盼。”元妃接来一看，上写道：p_s不羡盈盈掌上身，幽芳一缕静无尘。康成书带留佳话，茂叔芸窗占早春。号绛果堪餐秀色，名珠未许近鲛人。东皇有意怜仙骨，白玉雕栏护翠颦。p_e元妃看了，惊喜道：“我倒不知菱姑娘有此诗才，可敬可羡。”	character	scene	middle	character	character portraiture	middle	plot	beginning	character	commentary	middle	character
